id,produto,valor,endereço
547,Trackpad for Laptop,49.99,6.59.248.230
548,Plant-Based Meal Prep Containers,18.99,88.37.185.225
549,Organic Coconut Water,2.79,102.109.41.6
550,Ginger Snaps,2.79,132.64.64.49
551,Chic Jumpsuit,89.99,116.232.15.240
552,Camping Tarp,32.99,247.112.13.174
553,Peach Mango Smoothie Mix,5.99,99.126.150.189
554,Fresh Basil Pesto,4.79,144.158.113.93
555,Chilli Lime Corn on the Cob,1.99,61.89.233.237
556,Reusable Snack Bags,14.99,41.65.180.240
557,Fettuccine Alfredo Dinner Kit,5.49,63.131.191.52
558,Self-Inflating Camping Mattress,49.99,51.148.230.165
559,Wireless HDMI Receiver,49.99,46.169.80.44
560,Peach Fruit Cups,1.99,159.130.124.140
561,Cordless Electric Screwdriver,39.99,254.199.2.232
562,Handheld Shower Head,34.99,224.245.204.213
563,Vacuum Sealer Machine,89.99,227.253.206.240
564,Electric Can Opener,29.99,70.110.9.209
565,Pumpkin Puree,2.99,182.198.71.42
566,Vegan Cheese,4.99,242.8.155.203
567,Garden Hose Reel,49.99,148.32.161.144
568,Tomato Paste,1.29,164.100.187.61
569,Pasta (Linguine),1.89,56.243.171.70
570,Set of Herb Garden Markers,8.99,54.9.81.144
571,Magnetic Puzzle Board,24.99,8.186.128.161
572,Adjustable Pet Feeder,39.99,206.40.135.186
573,Nutritional Yeast,3.59,158.210.45.170
574,Rain Jacket,64.99,157.98.47.87
575,Outdoor Sports Backpack,49.99,216.188.39.220
576,Adjustable Stand for Tablets and Smartphones,19.99,158.143.8.42
577,Interchangeable Watch Bands,24.99,212.145.253.241
578,Portable Campfire,39.99,165.38.154.37
579,Avocado Oil Mayo,5.29,155.152.159.46
580,Ground Turkey,5.49,155.107.254.58
581,Habanero Hot Sauce,3.79,246.9.240.126
582,Vegetable Korma,6.49,43.179.160.137
583,Foot Massager Machine,59.99,184.111.40.83
584,Puzzle Mat,22.99,135.215.140.5
585,Electric Griddle,54.99,111.71.172.237
586,Pet Grooming Kit,39.99,23.244.131.6
587,Portable Bluetooth Keyboard,39.99,204.53.179.225
588,Sliced Avocado,2.79,139.240.123.220
589,Window Blinds,59.99,228.252.163.132
590,Wireless Charging Station,39.99,96.234.33.148
591,Pepper Jack Cheese Slices,3.49,241.81.58.201
592,Vanilla Ice Cream,4.99,83.232.231.109
593,Portable Laptop Table,39.99,28.29.44.241
594,Fitness Smartwatch,99.99,228.133.196.60
595,Lemon Lime Sparkling Water,1.99,77.194.201.216
596,Fire Roasted Salsa,2.49,188.111.163.19
597,Pet Travel Backpack Carrier,49.99,186.174.162.152
598,Slim Fit Chinos,54.99,164.176.32.61
599,Ginger Turmeric Shots,3.99,134.125.140.79
600,Homestyle Beef Stew,7.99,41.99.189.102
601,Insulated Lunch Bag,24.99,124.117.25.196
602,Digital Food Thermometer,19.99,197.195.117.7
603,Spicy Thai Coconut Soup,3.99,72.171.173.51
604,Portable Solar Path Lights,39.99,1.248.19.230
605,Luxury Yoga Mat,39.99,55.91.113.49
606,LED Disco Ball Light,19.99,62.95.211.227
607,Brown Sugar,1.79,98.245.68.116
608,Hummus Variety Pack,5.99,105.28.4.20
609,Compact Digital Camera,249.99,162.107.165.4
610,Weighted Jump Rope with Counter,14.99,41.66.86.53
611,Quality Chef Apron,19.99,144.116.231.106
612,Karaoke Microphone,39.99,253.183.16.143
613,Maple Pecan Pancake Mix,4.99,195.6.19.142
614,Dried Mango Slices,3.49,81.135.17.19
615,Electric Stir Fry Pan,49.99,181.234.248.236
616,Personal Blender,39.99,226.20.112.85
617,Mint Chocolate Chip Ice Cream,4.99,171.35.75.147
618,Fitness Mat,49.99,36.123.71.164
619,Black Bean Soup,3.49,232.162.214.242
620,Cotton Pajama Set,49.99,218.150.216.162
621,Dark Chocolate Almond Butter Cups,4.99,31.249.3.243
622,Guitar Tuner,19.99,229.91.16.117
623,Saffron Rice Mix,2.99,117.76.235.235
624,Garlic Herb Grilled Chicken,8.99,186.110.117.99
625,Travel Makeup Organizer,25.99,22.43.30.100
626,Classic Cheesecake Mix,4.99,233.247.240.164
627,Adjustable Standing Desk,299.99,28.185.224.120
628,Vintage Button-Down Shirt,45.99,94.66.180.26
629,Shoe Organizer,39.99,6.147.37.14
630,Outdoor Fire Pit,149.99,17.19.200.204
631,Cocoa Powder,3.99,106.76.81.234
632,Smartphone Gimbal,89.99,186.120.82.24
633,Smartphone Gimbal Stabilizer,89.99,160.39.6.18
634,Greek Feta Cheese,4.99,162.214.153.135
635,Adjustable Dog Harness,24.99,48.98.138.232
636,Artisan Cornbread Mix,2.49,54.66.69.123
637,Blueberry Muffin Mix,4.29,90.183.104.23
638,Sun-Dried Tomatoes,3.99,2.24.44.168
639,Oven-Baked Potato Chips,2.79,127.223.155.158
640,Cocoa Powder,3.99,8.66.226.119
641,Travel Pillow,22.99,127.191.144.153
642,Homestyle Chicken Noodle Soup,2.99,53.115.63.203
643,Collapsible Folding Chair,29.99,157.78.9.125
644,Heavy Duty Gardening Tool Set,49.99,156.254.243.2
645,Party Mini Dress,69.99,144.198.3.219
646,Maple Almond Yogurt,1.89,7.142.222.18
647,Kids' Trampoline,139.99,112.236.158.184
648,Wireless Car Charger,24.99,159.194.212.198
649,Garlic Parmesan Roasted Potatoes,3.99,81.190.176.228
650,Portable Solar Path Lights,39.99,192.166.178.78
651,Cinnamon Raisin Bread,3.79,143.117.164.127
652,Plant-Based Cookbook,29.99,4.139.146.221
653,Beef Stew Meat,5.99,40.68.49.169
654,Chili Beans (canned),1.69,121.19.86.118
655,Desk Lamp with USB Port,29.99,253.66.62.167
656,Adjustable Height Standing Desk Converter,89.99,193.240.169.9
657,Organic Quinoa Chips,3.99,8.132.17.227
658,Adjustable Pet Grooming Table,109.99,168.239.182.37
659,Faux Fur Throw Blanket,39.99,149.138.163.255
660,Organic Spinach,2.99,99.239.66.24
661,Vegetable Potstickers,5.99,16.249.31.25
662,Ice Pack,8.99,102.167.100.11
663,Wireless Car Charger,24.99,21.248.152.48
664,Frozen Burritos,8.99,6.28.89.10
665,Children's Science Experiment Lab Kit,29.99,188.21.247.56
666,Robot Vacuum Cleaner,299.99,220.174.233.199
667,Tea Infuser Bottle,19.99,18.42.66.27
668,Vegetable Quinoa Bowl,5.99,57.99.44.222
669,Portable Laptop Table,39.99,173.104.11.140
670,Baked Potato Chips,2.49,243.65.254.198
671,Classic Bagels,2.99,203.142.68.7
672,Smart Home Security Camera,79.99,2.163.12.132
673,Beef Stroganoff Meal Kit,12.99,140.139.143.214
674,Classic Caesar Salad Kit,4.99,87.247.235.26
675,Fruit and Nut Medley,5.99,190.192.20.217
676,Creamy Coleslaw Mix,2.39,100.209.246.197
677,Apple Sauce,2.19,53.66.52.118
678,Pumpkin Puree,2.99,43.202.234.94
679,Mesh Sports Leggings,39.99,176.163.192.8
680,Mango Chia Pudding,4.49,8.199.118.21
681,Chili Con Carne Mix,2.99,41.75.28.250
682,Multi-Purpose Marine Rope,19.99,243.60.43.113
683,Collapsible Folding Chair,29.99,254.139.24.217
684,Frozen Berry Medley,5.49,118.237.105.224
685,Collapsible Water Bottle,12.99,142.165.148.183
686,Maple Cinnamon Almonds,4.29,129.154.102.176
687,Inflatable Pool Float,29.99,16.253.98.131
688,Lemon Basil Pasta Sauce,4.99,148.160.245.175
689,Maple Chipotle Glaze,3.49,107.178.24.232
690,Heat-Resistant Silicone Mat,19.99,89.167.126.164
691,Non-Stick Grill Pan,39.99,11.153.208.250
692,Tabletop Fire Pit,79.99,245.1.155.63
693,Outdoor Camping Hammock,29.99,173.178.222.26
694,Brazil Nuts,10.99,77.90.188.88
695,Heart-Shaped Baking Molds,10.99,110.222.104.62
696,White Rice,1.49,218.55.219.122
697,Adjustable Yoga Mat Strap,14.99,8.88.32.238
698,Almond Flour Brownies,5.99,21.163.79.128
699,Fruit and Nut Energy Bites,2.99,194.63.208.187
700,Crispy Tofu Bites,4.99,117.233.216.14
701,Cable Knit Cardigan,49.99,124.246.70.251
702,Wi-Fi Enabled Smart Light Switch,24.99,248.63.43.126
703,Organic Quinoa Chips,3.99,127.74.61.73
704,Sweetened Condensed Milk,1.89,207.89.146.181
705,Ripped Boyfriend Jeans,54.99,219.192.131.87
706,Portable UV Sterilizer,19.99,70.201.24.173
707,Kids' Crafting Station,49.99,69.42.14.126
708,Cheddar Cheese Slices,3.49,24.140.95.172
709,Stuffed Bell Peppers,5.99,76.131.41.41
710,Falafel Mix,2.79,201.188.79.36
711,Action Camera,199.99,169.117.177.32
712,Pumpkin Waffles,4.49,222.207.157.63
713,Maple Cinnamon Granola,4.29,51.59.242.30
714,Self-Adhesive Wallpaper,34.99,65.24.58.65
715,Digital Stopwatch Timer,12.99,134.232.201.164
716,LED Desk Lamp with USB Charging Port,29.99,179.117.218.216
717,Mesh Laundry Bags Set,12.99,110.171.181.63
718,Vegetable Lasagna,6.99,128.139.115.123
719,Handmade Soap Making Kit,34.99,32.153.181.44
720,Pet Carrier Backpack,39.99,135.148.58.236
721,Apple Cinnamon Breakfast Muffins,3.49,152.81.135.173
722,Lemonade Mix,1.99,189.117.132.209
723,Handcrafted Wooden Jewelry Box,39.99,90.76.98.94
724,Foldable Yoga Mat Carry Bag,18.99,101.27.183.190
725,Raspberry Vanilla Greek Yogurt,3.49,185.140.69.247
726,Adjustable Standing Desk,299.99,31.246.97.245
727,Laptop Backpack,69.99,188.162.209.68
728,Casual Long Cardigan,45.99,173.201.76.12
729,Dog Collar,15.99,118.251.20.107
730,Car Vacuum,49.99,96.51.223.111
731,V-Neck Sweater,49.99,117.206.16.83
732,Magnetic Phone Case,19.99,100.8.236.117
733,Hair Dryer,39.99,158.199.123.74
734,Multi-Purpose Marine Rope,19.99,247.151.22.117
735,Electric Toothbrush Holder,14.99,139.168.95.133
736,Apple Cinnamon Breakfast Muffins,3.49,232.156.190.48
737,Thermostatic Shower Valve Kit,39.99,90.55.236.162
738,Puzzle Game Set,34.99,1.168.30.28
739,Multicolored LED Strip Lights,29.99,186.47.219.239
740,Cacao Nibs,6.49,77.115.188.192
741,Compressed Towel Tablets,12.99,223.184.61.114
742,Jump Rope with Counter,12.99,228.97.167.116
743,Electric Kettle,39.99,60.233.216.65
744,Kids' Trampoline,139.99,254.242.187.192
745,Kid's Fruit Snacks,2.49,161.192.155.150
746,Tuscan Bean Soup,2.49,34.157.221.191
747,Teriyaki Chicken Bowl,6.49,173.78.32.19
748,Fruit and Nut Medley,5.99,48.5.234.201
749,Nature Explorer Lens Kit,19.99,122.241.196.180
750,Fruit and Nut Bars,1.99,76.44.130.92
751,Chili Lime Corn Chips,2.79,247.215.250.2
752,Magnetic Whiteboard,34.99,144.29.74.57
753,Dried Cranberries,4.29,58.70.21.159
754,Adjustable Garden Rake,22.99,195.124.70.0
755,Portable Air Conditioner,299.99,37.83.33.5
756,Wireless Charger,24.99,90.120.95.205
757,Heavy-Duty Utility Tote,34.99,41.243.240.153
758,Personal Blender with Travel Lid,34.99,121.195.174.52
759,White Rice,1.49,92.225.149.49
760,Chili Garlic Sauce,2.49,125.8.167.66
761,Wireless Earbuds Case,12.99,246.81.52.0
762,Yoga Mat Carrier,12.99,194.233.231.153
763,Organic Honeycrisp Apples,1.99,39.215.12.36
764,Fitness Resistance Bands Set,34.99,35.65.6.255
765,Organic Tomato Soup,3.79,3.164.177.65
766,Coconut Chia Pudding,3.49,170.204.52.9
767,Handheld Shower Head,34.99,26.113.22.123
768,Ceramic Planter Set,39.99,118.166.113.88
769,Honey Graham Crackers,3.29,134.70.225.205
770,Dog Training Whistle,8.99,68.180.236.45
771,Inspirational Wall Art,24.99,5.218.241.200
772,Pretzel Bites,4.99,159.157.79.27
773,Lightweight Workout Tank,29.99,149.51.109.2
774,Granola,4.79,16.98.4.193
775,Creamy Coleslaw Mix,2.39,72.50.121.8
776,Herb Seasoned Rice,2.99,43.63.232.233
777,Solar Power Bank,39.99,142.227.85.145
778,Fitbit Activity Tracker,99.99,83.196.87.243
779,Roasted Sweet Corn,1.99,9.54.3.236
780,Falafel Mix,2.79,52.149.9.237
781,Vanilla Protein Powder,24.99,101.103.216.246
782,Elderberry Syrup Kit,22.99,3.207.158.68
783,Creamy Garlic Dressing,3.99,85.83.185.143
784,Chili Beans in Sauce,1.79,156.234.170.158
785,Baked Falafel,5.49,71.10.159.29
786,Green Smoothie Mix,5.99,39.26.253.195
787,Multi-Function Meat Tenderizer,19.99,139.29.231.241
788,Classic Pesto Sauce,4.29,20.36.42.53
789,Pet Travel Bowl,10.99,15.222.72.45
790,Oats,3.29,16.35.57.17
791,Personal Security Alarm Keychain,10.99,1.116.25.60
792,Cacao Nibs,6.49,115.75.190.9
793,Buttermilk Pancakes,3.99,46.63.134.242
794,Honey-Balsamic Vinaigrette,3.39,71.5.43.208
795,Granulated Sugar,2.49,38.53.208.61
796,Elegant Lace Dress,79.99,220.90.209.55
797,Whole Grain Cereal,3.49,123.179.137.160
798,Tofu,2.49,16.215.47.95
799,Camera Lens Cleaning Kit,14.99,91.150.169.134
800,Thermostatic Shower Valve Kit,39.99,111.8.41.4
801,Heavy-Duty Utility Tote,34.99,64.168.72.87
802,Energy Bites,3.99,130.122.160.204
803,Organic Green Apples,1.49,80.247.152.38
804,Baked Mac and Cheese,5.99,57.17.46.163
805,Lemon Lime Sparkling Water,1.99,164.121.66.82
806,Smoked Paprika Chicken Thighs,6.99,208.74.230.204
807,Plant Pot Drip Trays,9.99,144.161.102.149
808,Electric Wax Warmer,22.99,76.52.161.254
809,Frozen Spinach,1.99,19.76.48.79
810,Sun-Dried Tomato Pesto,4.49,167.246.109.71
811,Sesame Garlic Stir-Fry Sauce,2.79,68.138.81.53
812,Desk Lamp with USB Port,29.99,38.97.137.224
813,Self-Watering Planter,24.99,234.194.251.247
814,Organic Tomato Ketchup,3.49,83.7.39.154
815,Drone,249.99,216.105.60.49
816,Mushroom Soup (canned),2.49,210.185.255.3
817,Cranberry Citrus Sauce,3.99,52.98.36.55
818,Eco-Friendly Disposable Plates,22.99,106.92.60.70
819,Car Escape Tool,12.99,204.54.207.182
820,Noise-Canceling Earbuds,79.99,149.232.4.179
821,Inspirational Wall Art,24.99,168.77.180.164
822,Soft Plush Throw Blanket,29.99,229.226.96.67
823,Caramel Apple Taffy,1.99,128.31.187.37
824,Garlic Herb Grilled Chicken,8.99,227.198.121.254
825,Children's Art Set,34.99,123.181.183.39
826,Roasted Garlic,4.29,155.176.130.232
827,Black Bean Spaghetti,3.99,83.165.180.134
828,Reversible Comforter Set,89.99,32.189.255.62
829,Patterned Knit Scarf,25.99,199.248.165.205
830,Smartphone Camera Lens Kit,19.99,231.102.190.72
831,Casual Long Cardigan,45.99,193.152.188.188
832,Cheesy Cauliflower Bake,5.49,84.166.116.250
833,Car Emergency Kit,49.99,77.38.233.134
834,Asian Noodle Salad Kit,4.99,120.9.159.228
835,Kombucha Drink,3.49,36.230.28.206
836,Pistachio Ice Cream,4.99,145.38.22.253
837,Ultraviolet Phone Sanitizer,39.99,233.126.169.117
838,Luxury Bath Robe,49.99,56.116.208.83
839,Breezy Off-The-Shoulder Top,34.99,145.220.20.173
840,Tuscan Bean Soup,2.49,145.21.10.250
841,Canvas High-Top Sneakers,49.99,235.38.151.20
842,Spiralizer,22.99,148.212.20.13
843,Ultra-Thin Laptop Sleeve,19.99,208.130.60.43
844,Fruit and Nut Bars,1.99,103.239.126.77
845,Garlic & Herb Goat Cheese,5.49,193.40.24.212
846,Chiffon Blouse,39.99,232.9.106.114
847,Thermostatic Shower Valve Kit,39.99,188.26.134.90
848,Smashed Avocado with Lime,2.49,239.21.234.71
849,Phone Screen Protector,12.99,110.35.237.14
850,Mini Indoor Hydroponic Garden,59.99,198.241.209.160
851,Raisin Cinnamon Granola,3.79,182.152.156.252
852,Handheld Vacuum,79.99,134.156.2.4
853,Elegant Lace Dress,79.99,1.184.247.111
854,Vegetable Stock,2.49,216.141.5.64
855,Sushi Roll Kit,9.99,71.98.71.121
856,Tailored Dress Pants,79.99,76.198.5.122
857,Slim Wallet,24.99,255.103.166.177
858,Wine Glasses,29.99,5.23.9.59
859,Fitness Activity Journal,14.99,130.251.107.200
860,Portable Phone Charger,29.99,200.89.36.124
861,Paprika,1.79,125.151.1.206
862,Incense Holder,14.99,202.110.13.110
863,Scent Diffuser,34.99,24.193.31.153
864,Vacuum Sealer Machine,89.99,207.117.176.40
865,Magnetic Screen Door,24.99,4.79.36.12
866,Pet Carrier Backpack,39.99,203.227.235.133
867,Lemon Dill Chicken Skewers,9.99,139.205.229.51
868,Quality Chef Apron,19.99,229.197.112.98
869,Dill Pickle Chips,2.29,237.217.186.77
870,Basic V-Neck T-Shirt,19.99,186.121.43.192
871,Peach & Mango Salsa,4.49,135.188.223.78
872,Safety Pin Dispenser,5.99,22.150.224.52
873,Hand Mixer,29.99,160.182.52.90
874,Face Mask Set,19.99,1.177.52.232
875,Pet Grooming Scissors,16.99,68.148.125.98
876,Basic V-Neck T-Shirt,19.99,59.144.226.92
877,Electric Can Opener,29.99,172.28.215.62
878,Thai Green Curry Paste,2.49,25.95.64.51
879,Wi-Fi Enabled Smart Light Switch,24.99,211.176.40.32
880,Pineapple Teriyaki Chicken Mix,6.99,99.181.54.124
881,Organic Black Bean Burger,4.49,140.209.20.203
882,Scent Diffuser Oil,14.99,231.251.122.240
883,Eco-Friendly Cleaning Cloths,12.99,177.27.205.182
884,Collapsible Storage Crates,18.99,41.171.196.115
885,Taro Chips,3.59,90.188.28.226
886,Garlic Parmesan Roasted Potatoes,3.99,91.125.86.3
887,Taro Chips,3.59,224.217.230.201
888,Pet Hair Removal Brush,14.99,121.214.159.47
889,Car Phone Mount,15.99,117.116.135.150
890,Pomegranate Juice,4.49,163.161.215.8
891,Spicy Salsa Verde,3.49,223.214.102.210
892,Ceramic Knife Set,39.99,96.27.87.13
893,Organic Fruit Salad,4.49,143.199.80.33
894,Handheld Shower Head,34.99,103.152.85.76
895,Herb Drying Rack,22.99,224.208.101.23
896,Handmade Leather Wallet,49.99,94.13.124.61
897,Cotton Tote Bag Set,29.99,165.51.49.252
898,Graphic Hoodie,49.99,206.88.124.252
899,Solar Charger,39.99,184.83.1.12
900,Peanut Butter Pretzel Bites,4.19,168.155.37.33
901,Kale & Quinoa Salad Mix,4.49,220.53.232.44
902,Wall Calendar,17.99,45.192.227.86
903,Herb Garden Planter Box,49.99,223.205.166.63
904,Buffalo Cauliflower Wings,6.99,195.132.65.130
905,Set of Silicone Cooking Utensils,29.99,99.3.79.105
906,Coconut Chia Pudding,3.49,19.90.16.157
907,Peach Yogurt,1.29,15.7.88.96
908,Puzzle Mat,22.99,216.160.150.11
909,Cherry Almond Protein Bar,1.99,81.142.161.211
910,Tomato Paste,1.29,209.182.43.18
911,Foldable Electric Scooter,349.99,82.6.139.57
912,Graphic Sweatshirt,34.99,155.201.10.185
913,LED Strip Lights with Remote Control,29.99,86.160.31.73
914,Sliced Avocado,2.79,71.86.165.190
915,Electric Can Opener,29.99,177.143.114.250
916,Mesh Laundry Bags Set,12.99,145.140.146.229
917,Marinated Artichokes,3.79,242.20.167.200
918,Teriyaki Tofu Stir-Fry,7.49,27.146.1.59
919,Microfiber Cleaning Cloth Set,9.99,206.12.120.216
920,Customizable Name Puzzle,29.99,156.12.148.72
921,Pet Safety Harness,24.99,142.174.181.90
922,Legging Pants,34.99,88.245.253.207
923,Coconut Curry Chicken,9.99,57.67.45.131
924,Cookbook,27.99,2.167.153.94
925,Handheld Shower Head,34.99,25.179.247.223
926,Ultra-Thin Laptop Sleeve,19.99,56.147.241.41
927,Coffee Making Kit,44.99,232.43.157.152
928,Creamy Spinach Dip,5.99,218.193.108.175
929,Children's Art Set,34.99,28.150.12.83
930,Sweet Potato Fries,3.99,54.0.114.166
931,Electric Knife,39.99,250.39.212.127
932,Body Wash,12.99,175.24.253.236
933,Interactive Plush Toy,34.99,135.21.200.94
934,Deep Tissue Massage Gun,89.99,146.98.65.133
935,Wrap Front Midi Skirt,44.99,140.170.62.206
936,Classic Baseball Cap,24.99,112.181.97.17
937,Coconut Lime Rice,2.99,26.175.79.100
938,Cinnamon Roll Protein Bar,2.99,199.38.121.16
939,Creamy Garlic Dressing,3.99,165.111.177.127
940,Whole Chicken,12.99,93.110.63.60
941,Zesty Cilantro Lime Dressing,3.29,109.202.105.124
942,Classic Beef Chili,7.99,88.106.199.228
943,Pepper Jack Cheese Slices,3.49,244.204.56.0
944,Sporty Cap,15.99,36.57.226.98
945,Classic Black Dress,79.99,174.21.205.243
946,Slim Wallet,24.99,137.85.181.28
947,Pet Travel Backpack Carrier,49.99,50.249.148.171
948,Smart WiFi Plug,19.99,157.171.126.223
949,Pet Water Bottle,18.99,203.192.62.185
950,Pumpkin Puree,2.99,184.253.174.97
951,Italian Sausage and Peppers,8.99,167.187.141.139
952,Camping Lantern,34.99,162.104.29.13
953,Herb Seasoned Couscous,2.49,84.148.70.80
954,Dark Chocolate Raisins,3.49,19.94.51.33
955,Coconut Milk,2.49,224.137.138.178
956,Whole Wheat Pita Bread,2.79,140.132.218.33
957,Dog Collar,15.99,200.117.253.165
958,Buffalo Style Cauliflower Bites,5.49,165.40.220.195
959,Craft Beer Mustard,3.99,195.185.182.38
960,Puffed Rice Cake,2.49,178.178.82.42
961,Comfortable Jogger Pants,29.99,74.5.76.26
962,Gardening Tool Belt,22.99,197.207.83.180
963,Inflatable Paddle Board,349.99,254.226.12.255
964,Quality Chef Apron,19.99,88.4.145.99
965,Vegetable Lasagna,6.99,117.188.183.14
966,Adjustable Laptop Desk,59.99,108.195.93.66
967,Safety Pin Dispenser,5.99,231.32.49.206
968,Fettuccine Alfredo Dinner Kit,5.49,17.169.132.1
969,Italian Pasta,2.29,21.124.216.230
970,Interactive Plush Toy,34.99,177.45.177.195
971,Green Smoothie Mix,5.99,91.32.0.58
972,Skincare Fridge,39.99,64.204.32.22
973,Outdoor Inflatable Pool,149.99,180.20.223.163
974,Whole Roasted Chicken,9.99,197.251.104.51
975,Garlic Herb Seasoning,1.99,254.224.196.90
976,Sports Bottle,15.99,93.190.137.150
977,Pretzel Bites,4.99,225.78.212.30
978,Water Bottle with Built-in Fruit Infuser,18.99,195.160.213.221
979,Caribbean Jerk Marinade,3.79,86.186.253.63
980,Pumpkin Spice Granola,4.99,176.67.230.205
981,Couscous Mix,2.49,61.188.137.206
982,Dog Car Seat Cover,39.99,171.193.203.228
983,Organic Coconut Flakes,3.49,226.100.73.182
984,Travel Pillow with Memory Foam,29.99,128.135.208.246
985,Hydration Backpack,39.99,155.1.60.130
986,Smart Doorbell,119.99,190.196.197.31
987,Handcrafted Wooden Coasters,19.99,240.129.124.151
988,Cucumber,0.99,199.84.235.111
989,Apricot Jam,4.29,49.52.208.110
990,Grapes (red),3.49,7.108.23.56
991,Organic Quinoa Chips,3.99,92.156.112.89
992,Chocolate Avocado Pudding,4.99,137.92.174.230
993,Cinnamon Roll Protein Bar,2.99,148.194.245.227
994,Kids' Educational Tablet,129.99,255.232.17.253
995,Canned Black Beans,1.29,163.49.159.230
996,Spinach Pizza Rolls,4.99,53.3.238.159
997,Marinated Artichokes,3.79,16.96.87.135
998,Blackberry Compote,5.29,59.111.249.87
999,Plant Watering Spikes,12.99,182.175.131.6
1000,Decorative LED Neon Sign,45.99,82.49.91.66
